City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
46,hasaki,JP,2019-12-31 06:04:19,35.73,140.83,64.0,48,40,14.99,scattered clouds,0.0,0.0
47,richards bay,ZA,2019-12-31 06:04:19,-28.77,32.06,75.65,88,32,33.87,light rain,0.69,0.0
48,ibirite,BR,2019-12-31 06:04:19,-20.02,-44.06,68.0,64,0,6.93,clear sky,0.0,0.0
49,tuktoyaktuk,CA,2019-12-31 06:04:20,69.44,-133.03,-11.2,69,90,6.93,light snow,0.0,0.0
50,barrow,AR,2019-12-31 06:04:20,-38.31,-60.23,65.3,95,100,5.28,overcast clouds,0.0,0.0
51,fortuna,US,2019-12-31 05:59:22,40.6,-124.16,48.0,100,90,6.93,overcast clouds,0.0,0.0
52,columbus,US,2019-12-31 06:00:24,32.46,-84.99,45.0,65,1,6.93,clear sky,0.0,0.0
53,rikitea,PF,2019-12-31 06:04:21,-23.12,-134.97,77.45,85,100,11.23,overcast clouds,0.0,0.0
54,iqaluit,CA,2019-12-31 06:04:21,63.75,-68.52,-14.01,68,5,13.87,clear sky,0.0,0.0
55,comodoro rivadavia,AR,2019-12-31 06:04:21,-45.87,-67.48,57.2,82,0,1.12,clear sky,0.0,0.0
56,macusani,PE,2019-12-31 06:04:22,-14.07,-70.43,32.9,98,100,4.47,overcast clouds,0.0,0.0
57,talaja,IN,2019-12-31 06:04:22,21.35,72.04,62.6,48,0,5.82,smoke,0.0,0.0
58,aden,YE,2019-12-31 06:03:37,12.79,45.03,82.38,61,47,15.01,scattered clouds,0.0,0.0
59,east london,ZA,2019-12-31 06:03:51,-33.02,27.91,69.8,73,99,3.36,light rain,0.25,0.0
60,sur,OM,2019-12-31 06:04:23,22.57,59.53,72.77,60,1,7.38,clear sky,0.0,0.0
61,jamestown,AU,2019-12-31 05:59:47,-33.21,138.6,79.92,16,0,13.65,clear sky,0.0,0.0
62,gumdag,TM,2019-12-31 06:04:23,39.2,54.59,45.05,73,1,13.15,clear sky,0.0,0.0
63,caravelas,BR,2019-12-31 06:04:24,-17.73,-39.27,70.57,93,0,3.29,clear sky,0.0,0.0
64,nguru,NG,2019-12-31 06:04:24,12.88,10.45,54.95,35,28,10.02,scattered clouds,0.0,0.0
65,neiafu,TO,2019-12-31 06:04:24,-18.65,-173.98,80.6,83,75,17.22,broken clouds,0.0,0.0
66,khatanga,RU,2019-12-31 06:04:25,71.98,102.47,-21.3,85,96,9.1,overcast clouds,0.0,0.0
67,nishihara,JP,2019-12-31 06:04:25,35.74,139.53,66.0,38,40,27.51,scattered clouds,0.0,0.0
68,cidreira,BR,2019-12-31 06:04:25,-30.17,-50.22,74.84,91,31,15.61,scattered clouds,0.0,0.0
69,taunggyi,MM,2019-12-31 06:04:25,20.78,97.03,76.96,42,17,5.26,light rain,0.44,0.0
70,neyvo-shaytanskiy,RU,2019-12-31 06:04:26,57.73,61.25,11.62,87,100,13.65,overcast clouds,0.0,0.0
71,bredasdorp,ZA,2019-12-31 06:04:26,-34.53,20.04,68.0,56,88,4.7,overcast clouds,0.0,0.0
72,methven,NZ,2019-12-31 06:04:26,-43.63,171.65,72.0,63,0,1.99,clear sky,0.0,0.0
73,luderitz,NA,2019-12-31 06:04:26,-26.65,15.16,62.6,77,100,8.05,overcast clouds,0.0,0.0
74,kwinana,AU,2019-12-31 06:04:27,-32.25,115.77,89.6,42,0,19.46,clear sky,0.0,0.0
75,slyudyanka,RU,2019-12-31 06:04:27,51.66,103.72,17.64,85,100,2.66,overcast clouds,0.0,0.0
